method,our_reimpl_acc_mean,our_reimpl_acc_std,our_reimpl_n_seeds,our_protocol,published_acc,published_protocol,source_paper,source_url,gap_ours_minus_published,note
M0_fedavg_sequential,0.3335,0.0234,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",,n/a,n/a,,,"No single published number exists -- M0 is a generic sequential-fine-tuning baseline (RESEARCH_PLAN.md §5.1: 'retention lower bound, calibration point for attacks'), not one paper's proposed method. Reported for completeness; no gap computed."
M1_glfc,0.8427,0.0018,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",0.669,"10 tasks, CIFAR-100, ResNet18, 30-120 clients","Dong et al., CVPR 2022 (GLFC's own paper), Table 1",https://arxiv.org/abs/2203.11473,0.1737,"CAVEAT (read before citing this gap): our number sits on a frozen, IN21k-pretrained ViT-B/16 (RESEARCH_PLAN.md's cacheable-methods architecture); the published number trains a ResNet18 substantially from scratch inside the federated loop. A strong-enough frozen backbone routinely outperforms a weak-backbone method with sophisticated anti-forgetting machinery on its own -- this gap is dominated by that protocol difference, not by reimplementation fidelity. See notes/2026-09-15_p2_tab05_tab07.md."
M1_glfc,0.8427,0.0018,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",0.6183,"10/10/50/5 (tasks/classes-per-task/clients/active-per-round), CIFAR-100","Nori et al., ICLR 2025 (Hybrid Replay paper's independent reproduction of GLFC), Table 2",https://arxiv.org/pdf/2501.15356,0.2244,"CAVEAT (read before citing this gap): our number sits on a frozen, IN21k-pretrained ViT-B/16 (RESEARCH_PLAN.md's cacheable-methods architecture); the published number trains a ResNet18 substantially from scratch inside the federated loop. A strong-enough frozen backbone routinely outperforms a weak-backbone method with sophisticated anti-forgetting machinery on its own -- this gap is dominated by that protocol difference, not by reimplementation fidelity. See notes/2026-09-15_p2_tab05_tab07.md."
M2_target,0.836,0.0038,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",0.3631,"5 tasks, CIFAR-100, ResNet18, trainable generator","Zhang et al., ICCV 2023 (TARGET's own paper), §5 text",https://arxiv.org/pdf/2303.06937,0.4729,"Three independent papers report three very different numbers for the SAME method (0.363 / 0.713 / 0.500) under three different protocols (5 vs 10 tasks, different client counts and skew) -- this is itself evidence for H12 (reproduction attrition): published numbers for these methods are highly protocol-sensitive, which is a finding, not noise. CAVEAT (read before citing this gap): our number sits on a frozen, IN21k-pretrained ViT-B/16 (RESEARCH_PLAN.md's cacheable-methods architecture); the published number trains a ResNet18 substantially from scratch inside the federated loop. A strong-enough frozen backbone routinely outperforms a weak-backbone method with sophisticated anti-forgetting machinery on its own -- this gap is dominated by that protocol difference, not by reimplementation fidelity. See notes/2026-09-15_p2_tab05_tab07.md."
M2_target,0.836,0.0038,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",0.713,"10 tasks, CIFAR-100, quantity-skew alpha=6, 10 clients","Guo et al., ECCV 2024 (PILoRA paper's independent reproduction of TARGET), Table 1 (avg. accuracy column)",https://arxiv.org/abs/2401.02094,0.123,"Three independent papers report three very different numbers for the SAME method (0.363 / 0.713 / 0.500) under three different protocols (5 vs 10 tasks, different client counts and skew) -- this is itself evidence for H12 (reproduction attrition): published numbers for these methods are highly protocol-sensitive, which is a finding, not noise. CAVEAT (read before citing this gap): our number sits on a frozen, IN21k-pretrained ViT-B/16 (RESEARCH_PLAN.md's cacheable-methods architecture); the published number trains a ResNet18 substantially from scratch inside the federated loop. A strong-enough frozen backbone routinely outperforms a weak-backbone method with sophisticated anti-forgetting machinery on its own -- this gap is dominated by that protocol difference, not by reimplementation fidelity. See notes/2026-09-15_p2_tab05_tab07.md."
M2_target,0.836,0.0038,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",0.5003,"10/10/50/5, CIFAR-100","Nori et al., ICLR 2025 (Hybrid Replay paper's independent reproduction of TARGET), Table 2",https://arxiv.org/pdf/2501.15356,0.3357,"Three independent papers report three very different numbers for the SAME method (0.363 / 0.713 / 0.500) under three different protocols (5 vs 10 tasks, different client counts and skew) -- this is itself evidence for H12 (reproduction attrition): published numbers for these methods are highly protocol-sensitive, which is a finding, not noise. CAVEAT (read before citing this gap): our number sits on a frozen, IN21k-pretrained ViT-B/16 (RESEARCH_PLAN.md's cacheable-methods architecture); the published number trains a ResNet18 substantially from scratch inside the federated loop. A strong-enough frozen backbone routinely outperforms a weak-backbone method with sophisticated anti-forgetting machinery on its own -- this gap is dominated by that protocol difference, not by reimplementation fidelity. See notes/2026-09-15_p2_tab05_tab07.md."
M3_fot,0.7479,0.0122,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",,n/a,n/a,,,"Could not extract an exact Split-CIFAR100 accuracy figure from the paper in this session (ICLR proceedings PDF and OpenReview PDF both resisted automated extraction; WebSearch surfaced only the qualitative claim of 'up to 15% average accuracy gain, 27% lower forgetting than SOTA' without a table). Recorded as an open follow-up, not fabricated."
M4_prototype_half,0.7696,0.0,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",0.786,"10 tasks, CIFAR-100, quantity-skew alpha=6, 10 clients -- FULL PILoRA (prototype+LoRA), not the prototype-only half we reimplement","Guo et al., ECCV 2024 (PILoRA's own paper), Table 1 (avg. accuracy column)",https://arxiv.org/abs/2401.02094,-0.0164,"We reimplement only PILoRA's prototype half (frozen backbone, no LoRA fine-tuning of the ViT -- LoRA needs backprop through the network and is out of scope for the cacheable-methods pass, 00_BUILD_PLAN.md P2). This is the one method in the table where our number is LOWER than published, which is independent structural evidence for the same backbone-confound point (see M1/M2/M5's note): the missing LoRA half is exactly the part that would let the backbone adapt, and its absence costs accuracy in the direction you'd expect."
M5_hybrid_replay,0.8419,0.0062,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",0.6584,"10/10/50/5, CIFAR-100","Nori et al., ICLR 2025 (Hybrid Replay's own paper), Table 2",https://arxiv.org/pdf/2501.15356,0.1835,"CAVEAT (read before citing this gap): our number sits on a frozen, IN21k-pretrained ViT-B/16 (RESEARCH_PLAN.md's cacheable-methods architecture); the published number trains a ResNet18 substantially from scratch inside the federated loop. A strong-enough frozen backbone routinely outperforms a weak-backbone method with sophisticated anti-forgetting machinery on its own -- this gap is dominated by that protocol difference, not by reimplementation fidelity. See notes/2026-09-15_p2_tab05_tab07.md."
M8_analytic_fcl,0.8833,0.0,5,"CIFAR-100, 10 class-incremental tasks, raw frozen ViT-B/16 features, one round/task, FX9 gate configs, 10 clients, Dirichlet beta=0.5",,n/a,n/a,,,"No independent public benchmark number exists to compare against -- M8 is our reimplementation of the internal 'Analytic FCL' preprint reference (RESEARCH_PLAN.md, preprint '26) that motivates M9's design, not a method with an established external leaderboard entry."
